"filename", "language", "Vue", "JavaScript", "HTML", "CSS", "Markdown", "JSON", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package-lock.json", "JSON", 0, 0, 0, 0, 0, 12947, 0, 0, 0, 1, 12948
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package.json", "JSON", 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\index.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\App.vue", "Vue", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkbox.vue", "Vue", 284, 0, 0, 0, 0, 0, 0, 0, 3, 23, 310
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxExamana.vue", "Vue", 123, 0, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxToEnd.vue", "Vue", 59, 0, 0, 0, 0, 0, 0, 0, 7, 2, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkboxana.vue", "Vue", 107, 0, 0, 0, 0, 0, 0, 0, 9, 6, 122
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluation.vue", "Vue", 233, 0, 0, 0, 0, 0, 0, 0, 2, 20, 255
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\EvaluationToEnd.vue", "Vue", 48, 0, 0, 0, 0, 0, 0, 0, 7, 4, 59
