"filename", "language", "JavaScript", "Vue", "SCSS", "HTML", "Markdown", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 28661, 0, 0, 1, 28662
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package.json", "JSON", 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 60
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\App.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkbox.vue", "Vue", 0, 284, 0, 0, 0, 0, 0, 0, 3, 23, 310
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxExamana.vue", "Vue", 0, 123, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxToEnd.vue", "Vue", 0, 60, 0, 0, 0, 0, 0, 0, 6, 2, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkboxana.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 9, 6, 122
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluation.vue", "Vue", 0, 233, 0, 0, 0, 0, 0, 0, 2, 20, 255
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\EvaluationToEnd.vue", "Vue", 0, 48, 0, 0, 0, 0, 0, 0, 7, 4, 59
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluationana.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 10, 6, 123
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judge.vue", "Vue", 0, 189, 0, 0, 0, 0, 0, 0, 2, 18, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeExamana.vue", "Vue", 0, 128, 0, 0, 0, 0, 0, 0, 9, 7, 144
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeToEnd.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judgeana.vue", "Vue", 0, 118, 0, 0, 0, 0, 0, 0, 9, 7, 134
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Limitation.vue", "Vue", 0, 248, 0, 0, 0, 0, 0, 0, 2, 22, 272
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Location.vue", "Vue", 0, 172, 0, 0, 0, 0, 0, 0, 8, 19, 199
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radio.vue", "Vue", 0, 279, 0, 0, 0, 0, 0, 0, 3, 25, 307
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioExamana.vue", "Vue", 0, 123, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioToEnd.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radioana.vue", "Vue", 0, 109, 0, 0, 0, 0, 0, 0, 9, 7, 125
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Text.vue", "Vue", 0, 178, 0, 0, 0, 0, 0, 0, 2, 20, 200
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\TextToEnd.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 7, 2, 64
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Analysis.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 0, 2, 9, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\AnalysisForUser.css", "CSS", 0, 0, 0, 0, 0, 80, 0, 0, 2, 16, 98
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\CheckboxExamana.css", "CSS", 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Checkboxana.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Edit.css", "CSS", 0, 0, 0, 0, 0, 174, 0, 0, 0, 37, 211
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Epidemic.css", "CSS", 0, 0, 0, 0, 0, 172, 0, 0, 2, 35, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Evaluationana.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Home.css", "CSS", 0, 0, 0, 0, 0, 75, 0, 0, 3, 5, 83
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Judgeana.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Login.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 0, 1, 11, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Preview.css", "CSS", 0, 0, 0, 0, 0, 73, 0, 0, 0, 13, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Radio.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\RadioToEnd.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Register.css", "CSS", 0, 0, 0, 0, 0, 63, 0, 0, 1, 12, 76
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Survey.css", "CSS", 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\TextToEnd.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\toend3.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 0, 2, 9, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\element-variables.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 6, 3, 12
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\network\request.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 1, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\plugins\element.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\registerServiceWorker.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\router\index.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 6, 4, 115
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\store\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 28, 2, 51
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\@\css\Login.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\About.vue", "Vue", 0, 114, 0, 0, 0, 0, 0, 0, 20, 5, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Analysis.vue", "Vue", 0, 206, 0, 0, 0, 0, 0, 0, 24, 11, 241
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\AnalysisForUser.vue", "Vue", 0, 87, 0, 0, 0, 0, 0, 0, 1, 6, 94
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Apply.vue", "Vue", 0, 609, 0, 0, 0, 0, 0, 0, 21, 19, 649
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Edit.vue", "Vue", 0, 571, 0, 0, 0, 0, 0, 0, 85, 18, 674
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\End.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Epidemic.vue", "Vue", 0, 600, 0, 0, 0, 0, 0, 0, 20, 21, 641
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Error.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Exam.vue", "Vue", 0, 595, 0, 0, 0, 0, 0, 0, 21, 19, 635
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Home.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Login.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Manage.vue", "Vue", 0, 675, 0, 0, 0, 0, 0, 0, 8, 2, 685
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Preview.vue", "Vue", 0, 208, 0, 0, 0, 0, 0, 0, 17, 10, 235
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Recycle.vue", "Vue", 0, 309, 0, 0, 0, 0, 0, 0, 0, 3, 312
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Register.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 0, 2, 10, 120
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Survey.vue", "Vue", 0, 223, 0, 0, 0, 0, 0, 0, 13, 10, 246
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Test.vue", "Vue", 0, 74, 0, 0, 0, 0, 0, 0, 2, 9, 85
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Vote.vue", "Vue", 0, 547, 0, 0, 0, 0, 0, 0, 21, 20, 588
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\test.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\toend3.vue", "Vue", 0, 156, 0, 0, 0, 0, 0, 0, 14, 14, 184
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\vue.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"Total", "-", 201, 7921, 3, 32, 19, 1183, 28720, 3, 449, 659, 39190
