"filename", "language", "JavaScript", "Vue", "HTML", "CSS", "SCSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 6, 25
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 28649, 0, 0, 1, 28650
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\package.json", "JSON", 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\public\index.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\App.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkbox.vue", "Vue", 0, 284, 0, 0, 0, 0, 0, 0, 3, 23, 310
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxExamana.vue", "Vue", 0, 124, 0, 0, 0, 0, 0, 0, 9, 7, 140
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\CheckboxToEnd.vue", "Vue", 0, 59, 0, 0, 0, 0, 0, 0, 7, 2, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Checkboxana.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 9, 6, 122
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluation.vue", "Vue", 0, 233, 0, 0, 0, 0, 0, 0, 2, 20, 255
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\EvaluationExamana.vue", "Vue", 0, 123, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\EvaluationToEnd.vue", "Vue", 0, 48, 0, 0, 0, 0, 0, 0, 7, 4, 59
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluationana.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 10, 6, 123
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judge.vue", "Vue", 0, 189, 0, 0, 0, 0, 0, 0, 2, 18, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeExamana.vue", "Vue", 0, 128, 0, 0, 0, 0, 0, 0, 9, 7, 144
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeToEnd.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judgeana.vue", "Vue", 0, 118, 0, 0, 0, 0, 0, 0, 9, 7, 134
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Limitation.vue", "Vue", 0, 254, 0, 0, 0, 0, 0, 0, 2, 22, 278
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Location.vue", "Vue", 0, 178, 0, 0, 0, 0, 0, 0, 2, 19, 199
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radio.vue", "Vue", 0, 279, 0, 0, 0, 0, 0, 0, 3, 25, 307
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioExamana.vue", "Vue", 0, 123, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioToEnd.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radioana.vue", "Vue", 0, 109, 0, 0, 0, 0, 0, 0, 9, 7, 125
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Text.vue", "Vue", 0, 178, 0, 0, 0, 0, 0, 0, 2, 20, 200
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\TextToEnd.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 7, 2, 64
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Analysis.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 2, 9, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\AnalysisForUser.css", "CSS", 0, 0, 0, 74, 0, 0, 0, 0, 8, 18, 100
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\CheckboxExamana.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
